team,season,wins,losses,win_pct,pts_per_game,fg_pct,three_pt_pct,three_pt_attempts,off_reb,def_reb,total_reb,assists,turnovers,blocks
Portland Trail Blazers,2020-21,42,30,0.583,116.1,0.453,0.385,40.8,10.6,33.9,44.5,21.3,11.1,5.0
Sacramento Kings,2020-21,31,41,0.431,113.7,0.481,0.364,33.3,9.4,32.0,41.4,25.5,13.4,5.0
San Antonio Spurs,2020-21,33,39,0.458,111.1,0.462,0.35,28.4,9.3,34.6,43.9,24.4,11.4,5.1
Toronto Raptors,2020-21,27,45,0.375,111.3,0.448,0.368,39.3,9.4,32.1,41.6,24.1,13.2,5.4
Utah Jazz,2020-21,52,20,0.722,116.4,0.468,0.389,43.0,10.6,37.6,48.3,23.7,14.2,5.2
Washington Wizards,2020-21,34,38,0.472,116.6,0.475,0.351,29.0,9.7,35.5,45.2,25.5,14.4,4.1
Atlanta Hawks,2021-22,43,39,0.524,113.9,0.47,0.374,34.4,10.0,33.9,44.0,24.6,11.9,4.2
Boston Celtics,2021-22,51,31,0.622,111.8,0.466,0.356,37.1,10.5,35.5,46.1,24.8,13.6,5.8
Brooklyn Nets,2021-22,44,38,0.537,112.9,0.475,0.361,31.7,10.3,34.1,44.4,25.3,14.1,5.5
Charlotte Hornets,2021-22,43,39,0.524,115.3,0.468,0.365,38.2,10.8,33.7,44.6,28.1,13.3,4.9
Chicago Bulls,2021-22,46,36,0.561,111.6,0.48,0.369,28.8,8.7,33.7,42.3,23.9,12.8,4.1
Cleveland Cavaliers,2021-22,44,38,0.537,107.8,0.469,0.355,32.8,10.2,34.0,44.2,25.2,14.4,4.2
Dallas Mavericks,2021-22,52,30,0.634,108.0,0.461,0.35,37.4,9.3,33.8,43.0,23.4,12.5,4.0
Denver Nuggets,2021-22,48,34,0.585,112.7,0.483,0.353,35.9,9.2,34.9,44.1,27.8,14.5,3.7
Detroit Pistons,2021-22,23,59,0.28,104.8,0.431,0.326,34.6,11.0,32.0,43.0,23.5,14.2,4.8
Golden State Warriors,2021-22,53,29,0.646,111.0,0.469,0.364,39.4,9.8,35.7,45.5,27.1,14.9,4.5
Houston Rockets,2021-22,20,62,0.244,109.7,0.456,0.349,38.7,9.6,32.4,42.0,23.6,16.5,4.7
Indiana Pacers,2021-22,25,57,0.305,111.5,0.463,0.344,35.4,11.3,32.6,43.9,25.4,14.4,5.6
LA Clippers,2021-22,42,40,0.512,108.4,0.458,0.374,34.2,9.1,34.9,44.0,24.0,13.7,5.0
Los Angeles Lakers,2021-22,33,49,0.402,112.1,0.469,0.347,34.5,9.5,34.5,44.0,24.0,14.5,5.2
Memphis Grizzlies,2021-22,56,26,0.683,115.6,0.461,0.353,32.7,14.1,35.0,49.2,26.0,13.2,6.5
Miami Heat,2021-22,53,29,0.646,110.0,0.467,0.379,35.8,9.8,33.9,43.7,25.5,14.6,3.2
Milwaukee Bucks,2021-22,51,31,0.622,115.5,0.468,0.366,38.4,10.2,36.5,46.7,23.9,13.4,4.0
Minnesota Timberwolves,2021-22,46,36,0.561,115.9,0.457,0.358,41.3,11.2,32.9,44.2,25.7,14.3,5.6
New Orleans Pelicans,2021-22,36,46,0.439,109.3,0.457,0.332,32.1,12.0,33.2,45.2,25.0,14.1,4.0
New York Knicks,2021-22,37,45,0.451,106.5,0.437,0.357,36.9,11.5,34.6,46.1,21.9,13.3,4.9
Oklahoma City Thunder,2021-22,24,58,0.293,103.7,0.43,0.323,37.4,10.4,35.2,45.6,22.2,14.0,4.6
Orlando Magic,2021-22,22,60,0.268,104.2,0.434,0.331,36.9,9.1,35.2,44.3,23.7,14.5,4.5
Philadelphia 76ers,2021-22,51,31,0.622,109.9,0.466,0.364,31.8,8.5,33.8,42.3,23.7,12.5,5.3
Phoenix Suns,2021-22,64,18,0.78,114.8,0.485,0.364,31.9,9.8,35.5,45.3,27.4,12.9,4.4
Portland Trail Blazers,2021-22,27,55,0.329,106.2,0.442,0.346,36.8,10.4,32.5,42.9,22.9,14.5,4.5
Sacramento Kings,2021-22,30,52,0.366,110.3,0.46,0.344,33.2,9.6,33.4,42.9,23.7,14.1,4.5
San Antonio Spurs,2021-22,34,48,0.415,113.2,0.467,0.352,32.0,11.0,34.3,45.3,27.9,12.7,4.9
Toronto Raptors,2021-22,48,34,0.585,109.4,0.445,0.349,34.2,13.4,32.0,45.3,22.1,12.5,4.6
Utah Jazz,2021-22,49,33,0.598,113.6,0.471,0.36,40.3,10.8,35.6,46.3,22.4,14.0,4.9
Washington Wizards,2021-22,35,47,0.427,108.6,0.472,0.342,30.6,9.0,34.1,43.1,25.0,13.1,5.0
Atlanta Hawks,2022-23,41,41,0.5,118.4,0.483,0.352,30.5,11.2,33.2,44.4,25.0,12.9,4.9
Boston Celtics,2022-23,57,25,0.695,117.9,0.475,0.377,42.6,9.7,35.6,45.3,26.7,13.4,5.2
Brooklyn Nets,2022-23,45,37,0.549,113.4,0.487,0.378,33.8,8.2,32.3,40.5,25.5,13.7,6.2
Charlotte Hornets,2022-23,27,55,0.329,111.0,0.457,0.33,32.5,11.0,33.5,44.5,25.1,14.2,5.2
